Feature Area,Backlog Item,Effort,Status (Remaining),Notes
PM Dashboard,Phase timeline Gantt view on main dashboard,Medium,Both,Marked "Coming soon" in UI; no Gantt component
PM Dashboard,Certification audit panel on main dashboard,Medium,Both,Marked "Coming soon"; no certifications module exists
PM Dashboard,Satisfaction trend chart on main dashboard,Low,Both,Marked "Coming soon"; data would come from survey/feedback
Cross-cutting,AI coach / assistant for PM (chat interface),High,Both,No /ai/ module exists; narrative generation is client-side only; no chat endpoint
Cross-cutting,Real-time WebSocket notifications for PM (in-app alerts),High,Both,No WebSocket module; notification log is polling-only
Cross-cutting,Participant bulk actions (export list / bulk status change / bulk delete),Medium,Both,No bulk endpoint beyond CSV enroll; no frontend multi-select + action toolbar
Cross-cutting,Activity prerequisites and dependency chain (block activity until prereq done),High,Both,Completion gates only enforce at report level; no participant-facing lock UI; no backend enforcement at submission time
Cross-cutting,Cohort edit / archive / delete actions,Low,Both,PATCH /cohorts/:id exists but no archive flag; delete not exposed in UI
Cross-cutting,Email template management CRUD tab in Communications,Low,Both,Templates exist in backend and are selectable in campaigns but there is no dedicated Template management tab/page in PMComms
Cross-cutting,Guest Speaker / Faculty limited-access portal,High,Both,No separate guest role or restricted portal view
Cross-cutting,HRIS integration (Workday / SAP SuccessFactors) for bulk enrollment,High,Both,Not started; needs OAuth flow + field-mapping UI + sync job
Cross-cutting,Google / Outlook calendar two-way sync for faculty availability,High,Both,Not started; needs calendar OAuth + event write-back
Cross-cutting,Certification issuance and badge management,High,Both,No certificates module; referenced in CLAUDE.md as a planned module
Cross-cutting,Survey module (question builder / response collection / results aggregation),High,Both,No surveys module; activity type survey exists in enum but no backend collection logic
Cross-cutting,360-degree feedback module (reviewer assignment / response collection / aggregation),High,Both,No feedback_360 backend module; activity type exists in enum only
