Module,Feature / Task,How It Looks in the System,Comment / Decision,Tag,Priority,Status
Coaching,Shared coaching session agenda + pre-session goal input + post-session notes,"""Upcoming Session Agenda"" list, Action Tracker, Session History with ""View AI Summary""",Finalized (green). Notes authored by Coach/Faculty; visible to participant,Coaching / Cross-Role,High,In UI + In Req
Coaching,Peer coaching pair assignment with guided conversation prompts,Not in participant reference UI. Expected: paired participant + prompt list,[SS84]/[AS85R84] Each incident gets separate briefing/questions as prompts; decided by Program Manager/Faculty. [SS86R84] Clear,Coaching / Cross-Role,Medium,In Req only
Coaching,Action Learning Set (ALS) workspace (challenge submission peer commentary accountability tracker),Not in participant reference UI (Capstone Team Workspace is closest analog),Finalized (green). Accountability tracker for the ALS group,Coaching,Medium,In Req only
Coaching,AI coaching prompt generator for self-reflection between sessions,"""AI Coaching Prompt"" card with reflective question + Reflect / New Prompt buttons",Finalized. AI asks self-reflective questions based on prior session summary ([AS91R90]),Coaching,Medium,In UI + In Req
Coaching,Coaching journey timeline (done/upcoming/locked),"""Coaching Journey Timeline"" vertical timeline with status dots + expandable AI summaries/actions",UI enhancement supporting coaching flow,Coaching,Medium,In UI only
Coaching,Coaching stats (sessions done active goals actions done coaching score),4 stat cards atop Coaching page,UI enhancement,Coaching / Progress,Low,In UI only
Capstone,Team workspace (shared docs task board team discussion forum),"Capstone -> ""Team Workspace"" tab: members list (roles/status) + shared file list",[SS87]/[AS88R87] Participant responsible for each part & position updated by team members themselves. [SS89R87] Clear,Capstone / Cross-Role,High,In UI + In Req (discussion forum & task board simplified)
Capstone,Capstone submission portal (PPT PDF video pitch written report),"Capstone -> My Capstone -> Project Submission: drag-drop upload (PPTX/PDF/video max 50MB) -> Submit",Finalized (green),Capstone,High,In UI + In Req
Capstone,Real-time panel assessment view during presentation day (scores released post-event),"Capstone -> Panel Feedback tab: locked until completed then shows scores + per-panelist ratings/comments",Finalized (green). Scores released post-event,Capstone / Cross-Role,High,In UI + In Req
Capstone,Peer assessment module with structured rubric for cross-team evaluation,"Capstone -> Peer Review tab: assigned peers 1-5 rating + feedback -> Submit Review",Finalized (green),Capstone / Cross-Role,High,In UI + In Req
Capstone,AI-assisted capstone feedback & improvement suggestions pre-submission,"""AI Feedback Preview"" card on My Capstone tab",Finalized (green),Capstone,Medium,In UI + In Req
Capstone,Project brief + checklist + overall progress,Status banner (progress %) + Project Brief card + Checklist card,UI enhancement,Capstone / Progress,Medium,In UI only
Surveys,Pre-/mid-/post-program survey completion with deadline reminders,Surveys page -> typed survey cards with due dates + Due Soon status + Start Survey modal,Finalized (green),Surveys,High,In UI + In Req
Surveys,Pulse-check surveys (weekly/bi-weekly micro-surveys),"""Mid-Program Pulse Check"" (5 min) + Session-type quick surveys",Finalized (green),Surveys,Medium,In UI + In Req
Surveys,Anonymous survey participation with confirmation of anonymity,Anonymous green chip on cards + in modal + submit confirms recorded anonymously,Finalized (green),Surveys,High,In UI + In Req
Surveys,Multiple question types (Likert NPS MCQ star-rating open text),SurveyModal renders likert/nps/mcq/rating/open with progress + pagination,UI enhancement realizing the requirement,Surveys,Medium,In UI only
Surveys,AI survey insights (feedback loop -> resources added),"""AI Survey Insights"" banner explaining how responses shaped the program",UI enhancement,Surveys,Low,In UI only
Gamification,Personal points dashboard by activity category,"Leaderboard -> My Points Breakdown (Modules Assessments Discussions Reflections Coaching) + Total",Finalized (green),Gamification,Medium,In UI + In Req
Gamification,Cohort leaderboard (rank points streak) + opt-in/opt-out privacy controls,"Leaderboard -> Cohort Leaderboard list (rank avatar streak points You-highlight)","[SS96]/[AS97R96] HR/PM suggests Super Admin keep or remove. [SS98R96] A toggle will be created to enable/disable the view",Gamification / Cross-Role,High,In UI + In Req (privacy toggle to build)
Gamification,Team leaderboard for group activities (capstone peer challenges),Not in participant reference UI,[SS93]/[AS94R93] Can be removed - needs external link to project data. [SS95R93] Noted,Gamification,Low,Removed
Gamification,Badge collection with achievement criteria + social sharing,Leaderboard -> My Badges card (earned vs locked chips + criteria tooltips),Finalized (green). Social sharing = LinkedIn-style (see 4.1.10),Gamification,Medium,In UI + In Req (explicit social-share action not shown)
Gamification,Streak tracker for engagement + daily login rewards,Per-leader streak + Dashboard Engagement Streak stat (current/longest/total),Finalized (green),Gamification / Progress,Medium,In UI + In Req
Gamification,Milestone celebration animations & congratulatory messages,Congratulatory copy in AI banners / capstone summary (no animations),Finalized (green),Gamification,Low,In Req only
Progress,Real-time completion % with phase-by-phase breakdown,"Dashboard -> Program Progress stat (expandable) + sidebar Current Phase + Learning Journey Timeline",[SS99]/[AS100R99] % based on Activities in program flow per activity type/completion. [SS101R99] Clear,Progress / Cross-Role,High,In UI + In Req
Progress,Learning contract with goals check-in prompts & reflection log,Dashboard -> Learning Contract card (goals % + next check-in date),Finalized (green). Goals set with coach; reflection via journal activities,Progress / Cross-Role,Medium,In UI + In Req (standalone reflection log not dedicated view)
Certification,Digital certificate on completion with verifiable credential (16-digit alphanumeric code),Capstone Panel tab (completed) -> Download Certificate; completed-program AI banner prompts download,Finalized (green). 16-digit code maps to /v1/certificates/:code/verify,Certification,High,In UI + In Req (16-digit code + verify link to wire)
Certification,PDF transcript of all completed activities assessments & scores,Assessments -> History tab (assessments + scores); Download PDF Report on 360,[SS102] Explain - transcript = consolidated PDF. Consolidated export to build,Certification,Medium,In Req only (per-area exports exist)
Certification,LinkedIn-shareable certificate integration,Referenced in completed-program AI banner only; no share button wired,[SS103R102] Please remove it. [SS104R102] Noted. Decided to remove,Certification,Low,Removed
